"FimA_del" "WT" "FimA_over"
"insA9" 0 0 0
"phoE" 44.5864855477261 21.0500950669542 7.73358668793181
"proB" 126.665774563054 119.453579001056 195.435036452205
"proA" 249.907475102599 205.172554155703 178.673223503975
"ykfI" 248.924117447812 129.802075523607 128.147231398683
"yafW" 466.512651204856 242.745435599666 119.348232322351
"ykfG" 116.422867762633 59.839397139332 42.2655580825823
"yafX" 160.508155788175 75.2672556522835 53.8492937374166
"ykfB" 524.797955114964 671.691616561387 230.26375351498
"yafY" 116.542807801721 55.5652291767562 29.7539015109274
"yafZ" 113.504042703266 55.4691538825501 39.634166308912
"ykfA" 154.61081894598 126.717043948251 41.1061999586757
"perR" 80.7939859186803 44.6421993417996 31.3866425727097
"insN" 30.2481476584736 19.1789725140494 29.4293020574099
"insI1" 0 0 0
"ykfC" 112.277506359949 54.1651768158908 71.1995154955198
"insH1" 300.66552763552 213.852945947376 96.2512601686149
"mmuP" 78.8338206203898 34.4407728598703 210.256969944525
"mmuM" 191.651615880245 180.208860008672 285.922307650523
"afuC" 65.7717434834765 29.5573831539765 53.7289987694846
"afuB" 290.872229218235 108.132708528715 135.711276348118
"insB2" 132.196153449806 72.2488736557348 126.05485919606
"insA2" 694.765943351467 377.757557755491 378.912098750086
"insI2" 4.71163489465858 2.40271243431368 3.77383237660122
"yagB" 131.376315389816 103.509149784887 69.2320103684208
"yagA" 63.4433639151755 33.2506805162053 16.7616322614079
"yagE" 102.821720000614 66.855056333446 21.4060870387854
"yagF" 138.571455900284 82.024789937498 28.0130612567919
"yagG" 93.7257688062078 54.6460977231229 75.9675473838288
"yagH" 101.338546055583 59.7722475682267 197.6731393914
"xynR" 128.066006978329 85.8330142207638 895.75897306224
"argF" 69.1887393609603 75.4222816328512 1491.01284312707
"insB3" 125.922437692866 87.6727905035879 113.664851668243
"insA3" 694.765943351467 357.152600059736 366.883143234209
"yagJ" 111.096432618711 62.5285400422205 40.3225376804221
"yagK" 55.6793929073783 28.8078477074031 28.5396122320397
"yagL" 21.4025650463498 15.5185193487501 6.96592163693849
