Geneid	FimA_del	WT	FimA_over
ycgB	18546	29211	1523
dadA	5356	6515	3155
dadX	3259	3367	2094
ymgM	134	92	90
cvrA	1093	711	531
ldcA	656	420	359
emtA	612	419	94
ycgR	401	239	33
ymgE	2800	3122	163
ycgY	386	378	50
treA	5195	9355	263
dhaM	950	811	745
dhaL	513	486	232
dhaK	766	873	437
dhaR	1216	669	262
ycgV	1589	958	408
ychF	1149	669	170
pth	360	255	80
ychH	91913	76194	1200
dauA	1875	1447	515
prs	678	522	717
ispE	719	662	1019
lolB	555	532	312
hemA	1471	1420	679
prfA	821	730	317
prmC	425	272	137
ychQ	131	75	56
ychA	961	700	1334
kdsA	1752	1273	1812
ldrA	111	118	230
rdlA	77	78	89
ldrB	189	152	80
rdlB	94	172	36
ldrC	165	128	36
rdlC	110	168	49
chaA	587	439	146
chaB	714	849	170
chaC	892	925	696
ychN	1231	2098	200
ychO	789	499	343
narL	756	480	223
narX	1357	892	362
narK	847	465	87
narS	45	22	5
narG	2053	1144	295
narH	759	403	183
narJ	310	141	99
narI	347	212	43
ychS	297	218	194
rttR	27	6	3
tpr	0	0	0
tyrV	72	49	121
tyrT	95	80	75
purU	566	408	425
ychJ	273	133	179
rssA	4047	5022	751
rssB	4731	5010	1037
galU	3776	3222	1171
hns	7113	6979	2656
tdk	255	160	46
insZ	496	273	148
adhE	14440	20560	5032
ychT	47	39	15
ychE	233	146	103
insH21	2036	1607	566
oppA	2950	3729	5014
oppB	486	327	496
oppC	742	551	914
oppD	782	540	1603
oppF	1052	749	1398
yciU	297	308	380
clsA	1586	1498	925
yciY	130	91	203
kch	753	502	313
yciI	262	147	103
tonB	340	211	1189
yciA	199	99	156
yciB	950	861	699
yciC	717	598	634
ompW	331	268	36
yciE	442	535	293
yciF	415	366	291
yciG	542	1699	348
trpA	793	599	505
trpB	887	667	653
trpC	923	607	527
trpD	805	455	429
trpE	991	543	332
trpL	56	28	11
rnm	748	559	312
yciO	911	803	459
yciQ	1069	688	227
rluB	651	491	234
btuR	509	352	145
yciK	854	546	175
sohB	932	647	522
yciN	242	153	204
topA	3247	4979	1306
cysB	1310	1011	578
ymiA	188	167	34
yciX	288	253	51
ymiC	53	60	23
acnA	8554	12372	2500
ribA	1100	981	590
pgpB	776	731	359
lapA	643	714	549
lapB	1382	1160	1196
pyrF	467	303	257
yciH	160	106	27
osmB	9644	11461	2059
yciT	469	354	200
yciZ	107	79	144
ymiD	52	34	12
pdeR	2929	2927	587
ymiB	26	10	22
rnb	1323	1195	1707
yciW	894	1344	1093
fabI	6780	4983	1271
ycjD	295	221	147
sapF	683	555	330
sapD	1297	1189	599
sapC	823	767	344
sapB	909	788	419
sapA	1882	1613	995
ymjA	209	182	146
puuP	1109	579	77
ymjE	97	66	3
puuA	869	664	100
puuD	709	561	105
puuR	534	445	55
puuC	1080	673	140
puuB	569	343	90
puuE	837	511	134
pspF	472	273	230
pspA	13778	11521	833
pspB	1928	1520	142
pspC	3454	2652	226
pspD	2024	1564	105
pspE	4299	3228	185
ycjM	640	361	33
ycjN	590	317	31
ycjO	471	208	36
ycjP	471	277	35
ycjQ	580	302	67
ycjR	325	151	33
ycjS	615	293	51
ycjT	1293	630	113
ycjU	354	183	47
ycjV	375	195	55
ymjB	21	26	2
ompG	401	295	23
ycjW	420	205	50
ycjX	1515	2682	1740
ycjF	1056	1422	874
tyrR	1630	1641	1160
tpx	1298	1155	892
ycjG	1144	1107	770
mpaA	1295	1419	545
ymjC	84	43	25
ymjD	9	9	3
ycjY	383	217	82
pgrR	393	238	126
mppA	1527	1648	253
ynaI	487	276	278
insH4	2118	1635	611
ynaJ	725	688	279
uspE	12210	11862	1545
fnr	4960	5556	1982
ogt	293	179	99
abgT	688	393	63
abgB	783	383	109
abgA	593	297	47
abgR	480	297	37
mcaS	40	37	18
smrA	825	612	149
dgcM	7926	7088	351
ynaN	6	5	0
zntB	1322	1097	447
fnrS	135	99	51
ynaL	123	100	33
dbpA	793	535	194
ttcA	730	574	428
intR	655	371	120
xisR	33	17	4
rcbA	2	0	1
ralA	0	0	0
ralR	44	21	2
recT	290	135	51
recE	1286	624	113
racC	91	46	3
ydaE	16	8	0
kilR	103	77	9
kilS	70	35	7
sieB	73	31	8
ydaF	57	29	8
ydaG	68	39	5
racR	458	269	252
ydaS	51	29	13
ydaT	116	46	20
ydaU	328	183	34
ydaV	403	191	26
ydaW	308	168	99
rzpR	167	147	46
rzoR	0	0	0
trkG	338	233	277
ynaK	37	20	6
ydaY	223	111	28
ynaA	444	266	82
lomR	436	227	59
insH5	0	0	0
stfR	3363	2269	560
tfaR	953	551	98
pinR	388	313	102
ynaE	113	90	50
ynaM	109	89	30
ttcC	126	112	78
uspF	1066	1183	181
ompN	401	251	35
micC	16	13	0
ydbK	7436	9056	2204
ydbJ	347	385	201
hslJ	580	572	248
ldhA	511	437	200
ydbH	1418	864	256
ynbE	81	49	22
ydbL	263	148	32
feaR	2500	1449	60
feaB	1177	803	295
tynA	1214	693	116
paaZ	1172	584	90
paaA	282	164	24
paaB	136	59	13
paaC	404	178	20
paaD	316	161	24
paaE	369	211	43
paaF	426	191	28
paaG	332	176	17
paaH	755	360	65
paaI	81	45	24
paaJ	1090	983	143
paaK	1458	1500	143
paaX	1404	1332	207
paaY	825	803	95
ynbG	6	7	0
ydbA	2913	1871	1060
insD2	0	0	0
insC2	0	0	0
pdxI	1694	2603	135
ydbD	817	452	65
ynbA	129	45	3
ynbB	265	135	14
ynbC	724	365	108
ynbD	686	396	129
azoR	267	147	89
hrpA	2437	1855	971
ydcF	750	914	283
aldA	11201	12956	712
gapC	6979	6826	22926
cybB	301	181	54
rydC	40	29	5
ydcA	408	746	57
yncP	57	120	9
hokB	15	19	4
mokB	9	2	0
sokB	66	71	59
trg	785	531	314
ydcI	1986	1603	296
ydcJ	18101	16881	200
opgD	1708	1275	341
ydcH	1640	2900	13
rimL	326	367	201
ydcK	936	984	231
tehA	499	319	345
tehB	475	315	256
ydcL	1795	1174	315
yncK	173	171	91
insQ	614	406	779
ydcO	594	323	146
sutR	232	129	129
rlhA	807	427	274
yncJ	128	62	15
hicA	211	161	118
hicB	434	242	274
ydcR	960	566	594
ydcS	14326	23692	117
ydcT	3281	5780	49
ydcU	1700	2937	59
ydcV	1127	1970	17
patD	2345	3893	107
yncL	74	77	23
ortT	94	60	59
ydcY	491	359	510
ydcZ	179	112	341
mnaT	249	182	318
curA	1083	1558	141
mcbR	1201	949	116
yncD	947	566	132
yncE	469	316	1595
ansP	591	310	143
yncG	261	440	133
yncH	33	14	2
rhsE	1242	610	190
ydcD	34	22	6
yncO	9	13	2
yncI	212	188	23
ydcC	271	162	34
pptA	144	87	31
yddH	465	469	36
nhoA	477	340	57
yddE	540	336	275
narV	618	376	65
narW	483	365	58
narY	1200	1084	117
narZ	3298	2562	333
narU	1487	1030	122
yddJ	49	15	3
yddK	23	19	8
yddL	17	14	6
yddG	277	147	34
fdnG	1043	398	98
fdnH	321	128	33
fdnI	255	171	115
yddM	736	586	470
adhP	2700	3577	834
maeA	1152	1487	758
sra	8703	15052	1802
bdm	56	31	33
osmC	8264	12447	3927
ddpF	442	409	517
ddpD	421	436	94
ddpC	562	636	99
ddpB	528	743	32
ddpA	2911	4716	61
ddpX	1519	2219	38
dosP	2689	3229	548
dosC	3897	6709	680
yddY	9	7	1
digH	531	265	210
gadC	2578	763	419
gadB	2084	648	600
pqqL	558	319	166
yddB	536	224	104
yddA	310	166	37
yneP	4	4	1
ydeM	179	98	20
ydeN	303	173	57
ydeO	88	62	12
safA	8	2	1
ydeP	769	427	103
ydeQ	209	97	15
ydeR	103	59	14
ydeS	160	81	15
ydeT	266	105	14
yneL	55	37	25
hipA	419	195	301
hipB	62	53	52
yneO	2157	1184	511
lsrK	21147	8626	190
lsrR	7856	3349	119
lsrA	46675	16749	92
lsrC	12875	6343	56
lsrD	8763	5183	47
lsrB	23699	12840	59
lsrF	12243	6949	58
lsrG	5823	3430	63
tam	2863	2019	192
yneE	548	413	142
uxaB	557	292	195
dgcF	275	141	287
yneG	124	99	89
glsB	316	141	240
sad	490	278	632
yneJ	297	205	162
yneK	234	104	39
ydeA	387	221	581
marC	403	430	343
marR	132	84	128
marA	186	169	283
marB	137	91	118
eamA	384	325	164
ydeE	420	377	174
mgtS	35	24	4
mgtT	9	9	1
mgrR	37	20	3
dgcZ	510	429	128
ydeI	1471	1799	204
ydeJ	1022	621	101
dcp	1306	1074	815
ydfG	957	755	789
rspR	388	341	664
ydfZ	85	55	115
ydfI	479	351	95
ydfJ	407	268	130
ynfT	157	144	64
ydfK	109	105	42
pinQ	297	184	64
tfaQ	1673	1081	188
stfQ	277	156	56
nohA	1970	1362	125
ynfO	675	466	123
ydfO	24	14	3
gnsB	22	9	43
ynfN	15	6	4
ynfR	7	1	1
ynfQ	23	20	1
cspI	140	152	10
rzpQ	69	33	2
rzoQ	0	0	0
rrrQ	90	43	14
ydfR	61	29	10
essQ	41	23	4
ynfU	40	32	2
cspB	92	84	46
cspF	53	42	49
ynfS	577	943	100
ydfT	325	179	68
ydfU	307	133	112
rem	228	170	108
hokD	2075	2141	1841
relE	3287	2906	1831
relB	1617	1552	852
ydfV	61	38	96
flxA	182	115	26
ydfW	38	27	20
ydfX	96	45	17
dicC	16	10	3
dicA	141	128	255
ydfA	55	24	18
ydfB	40	16	4
ydfC	74	36	29
dicF	38	35	27
dicB	23	12	4
ydfD	33	22	4
ydfE	238	96	52
insD7	474	316	224
intQ	0	0	0
ynfP	0	0	0
rspB	0	0	0
rspA	0	0	0
ynfA	0	0	0
ynfB	0	0	0
speG	0	0	0
ynfC	0	0	0
ynfD	0	0	0
ynfE	0	0	3
ynfF	0	0	0
ynfG	0	0	0
ynfH	0	0	0
dmsD	0	0	1
clcB	0	0	0
bidA	0	0	1
mlc	0	0	0
ynfL	0	0	0
ynfM	0	0	1
asr	0	0	0
ydgU	0	0	0
ydgD	0	0	0
mdtI	0	0	0
mdtJ	0	0	0
mdtU	0	0	0
tqsA	0	0	0
pntB	14004	11832	4865
pntA	18092	17708	6288
ydgH	763	547	297
ydgI	906	519	231
folM	723	581	156
ydgC	197	132	83
rstA	304	155	110
rstB	724	369	233
tus	1075	818	174
fumC	10601	9517	247
fumA	13854	12072	527
manA	962	592	297
ydgA	7174	10038	2740
uidC	793	472	83
uidB	883	455	47
uidA	1739	920	109
uidR	1061	1001	1044
hdhA	8427	12359	3552
malI	1205	1034	166
malX	926	504	171
malY	893	551	449
add	1194	826	340
ydgJ	1055	704	610
blr	89	57	71
cnu	82	71	33
ydgK	231	183	280
rsxA	295	164	120
rsxB	267	171	223
rsxC	1329	709	541
rsxD	725	406	195
rsxG	275	128	111
rsxE	417	219	94
nth	339	180	156
dtpA	808	495	2919
gstA	1254	1053	995
pdxY	675	444	635
tyrS	1187	1147	1248
pdxH	460	324	514
mliC	164	112	62
anmK	651	538	172
slyB	4033	4102	1301
slyA	1739	1425	1311
ydhI	220	130	43
ydhJ	391	209	113
ydhK	1248	744	396
sodC	2862	3217	396
ydhF	2631	3422	298
ydhL	462	387	37
nemR	279	283	147
nemA	1114	1013	509
gloA	620	527	251
rnt	528	264	296
lhr	3717	2005	1066
grxD	1585	1184	587
mepH	680	412	101
sodB	1541	2145	951
ydhP	955	539	417
cydH	140	88	59
purR	795	490	548
punR	419	295	139
punC	813	568	181
cfa	4898	5033	6826
ribC	1083	892	797
mdtK	2828	3144	767
ydhQ	2236	2306	895
valV	20	12	2
valW	27	25	9
ydhR	521	693	402
ydhS	1553	1891	552
ydhT	541	315	191
ydhU	474	238	93
ydhX	467	273	44
ydhW	280	157	64
ydhV	1209	648	108
ydhY	257	195	30
fumD	225	160	48
ynhH	141	79	37
pykF	6654	8167	2350
lpp	5833	10987	21394
ldtE	15668	11422	3046
sufE	430	358	611
sufS	2040	2295	2702
sufD	2391	3027	3290
sufC	1598	1984	1882
sufB	4398	5271	4484
sufA	1419	1569	1262
rydB	50	40	588
ydiH	151	80	1802
menI	401	221	287
ydiJ	2215	1142	2289
ydiK	1644	1372	472
rprA	106	59	10
ydiL	147	93	22
ydiM	449	244	33
ydiN	636	352	59
ydiB	325	149	38
aroD	581	302	84
ydiF	852	508	43
ydiO	501	236	30
ydiP	504	310	75
ydiQ	472	216	45
ydiR	679	340	66
ydiS	970	433	69
ydiT	97	50	13
fadK	1031	532	141
ppsA	3262	3155	2158
ppsR	626	384	127
aroH	574	306	491
ydiE	108	82	150
selO	1683	1463	879
rflP	1333	1349	168
nlpC	564	522	315
btuD	815	830	227
btuE	1089	1797	302
btuC	883	678	588
ihfA	16100	17355	2622
pheT	4182	3966	1851
pheS	1105	822	580
pheM	40	12	49
rplT	2311	5904	24758
rpmI	1432	3472	18141
infC	6707	10268	27211
thrS	8045	9097	10712
arpB	482	329	100
yniD	16	15	22
ydiY	472	279	103
pfkB	4112	3378	708
ydiZ	1791	2868	236
yniA	6557	11924	957
yniB	1503	1813	995
hxpB	423	260	107
ydjM	251	236	108
tcyP	1049	871	800
ydjO	89	94	15
cedA	160	144	36
katE	2005	2559	591
chbG	741	416	155
chbF	987	585	100
chbR	493	290	152
chbA	184	150	35
chbC	1124	907	114
chbB	602	615	94
osmE	7618	7936	2870
nadE	1666	1562	456
cho	720	536	708
ves	284	195	117
spy	1464	2054	551
astE	1245	588	61
astB	2496	1303	203
astD	3696	1990	188
astA	3487	1582	132
astC	6049	2414	140
xthA	797	492	195
ydjX	441	245	81
ydjY	527	254	32
ydjZ	511	274	85
ynjA	311	217	89
ynjB	1042	673	152
ynjC	850	501	127
ynjD	345	169	332
ynjE	930	545	160
ynjF	421	244	144
nudG	312	153	51
ynjH	193	119	38
gdhA	1209	2499	10371
ynjI	512	287	633
topB	1914	1309	1314
selD	2768	2900	1360
ydjA	551	438	315
sppA	1390	902	470
ansA	522	401	142
pncA	370	274	125
ydjE	684	441	65
ydjF	535	481	241
ydjG	474	290	63
ydjH	444	240	34
ydjI	380	191	27
ydjJ	643	335	28
ydjK	662	311	66
ydjL	1009	535	68
yeaC	1321	1259	104
msrB	2202	2252	132
gapA	17652	14736	8158
yeaD	990	506	105
yeaE	716	585	212
mipA	939	822	208
yeaG	52963	93356	3605
yeaH	7746	16203	1336
cdgI	614	414	55
dgcJ	762	578	658
yeaK	348	214	259
yoaI	49	14	26
yeaL	175	95	176
nimR	487	281	160
nimT	609	309	93
yeaO	610	419	165
yoaF	213	129	108
dgcP	755	438	742
yoaK	29	21	11
yoaJ	28	21	6
yeaQ	2548	2660	855
yoaG	112	71	51
yeaR	226	108	269
leuE	927	701	176
dmlR	2738	2712	222
dmlA	1121	610	80
yeaV	1102	599	76
yeaW	600	378	65
yeaX	514	260	106
rnd	833	830	292
fadD	15220	26237	359
yeaY	2449	4435	331
tsaB	488	378	179
yoaA	1406	896	302
yoaB	327	216	154
yoaC	5465	7559	273
yoaH	304	257	107
pabB	936	514	237
nudL	467	362	182
sdaA	1639	1594	956
pdeD	1244	931	217
yoaE	1105	618	207
yoaL	88	73	31
manX	15802	19568	404
manY	11650	14517	361
manZ	14392	20403	413
yobD	361	310	23
mntP	385	200	48
rlmA	439	402	180
cspC	12135	30062	1244
yobF	16264	39190	575
yebO	221	177	320
mgrB	102	64	17
yobH	387	369	65
kdgR	1377	1415	924
yebQ	1216	680	167
htpX	3779	3727	2139
prc	2835	2211	1032
proQ	1372	1426	1131
msrC	696	578	444
letA	1202	1119	413
letB	2252	1626	692
rsmF	1053	517	378
yebV	1559	3936	6846
yebW	698	718	2272
pphA	742	1020	1507
ryeA	105	154	53
sdsR	0	0	0
yebY	633	368	94
yebZ	687	347	229
yobA	509	293	134
holE	271	170	47
yobB	441	303	62
exoX	472	306	256
ptrB	1863	1934	503
yebE	1379	1263	237
yebF	1648	2365	1186
yebG	1218	1803	825
purT	630	380	87
eda	773	524	469
edd	1547	833	301
zwf	1633	1303	714
yebK	1460	1379	538
pykA	7562	6913	1209
lpxM	780	562	457
mepM	2418	2517	1211
znuA	1709	2896	390
znuC	1065	1267	425
znuB	753	693	309
ruvB	1192	919	800
ruvA	677	576	489
yobI	30	39	2
yebB	323	200	56
ruvC	512	492	583
yebC	1166	1346	1269
nudB	702	784	1085
aspS	2851	3361	5071
yecD	458	307	262
yecE	358	219	166
yecN	291	271	306
cmoA	432	363	283
cmoB	803	609	361
torZ	1763	1155	200
torY	451	451	54
micL	19	11	4
cutC	4536	6889	1951
yecM	534	338	175
argS	1498	1098	985
yecV	39	23	1
yecT	229	179	34
flhE	225	133	33
flhA	1468	733	250
flhB	643	344	86
cheZ	464	219	59
cheY	330	194	32
cheB	544	255	29
cheR	456	201	49
tap	1327	601	71
tar	1064	562	96
cheW	314	183	34
cheA	1121	572	82
motB	684	323	51
motA	456	210	26
motR	15	8	3
flhC	336	199	130
flhD	202	120	93
insB5	166	101	72
insA5	68	36	38
uspC	191	190	335
otsA	3723	5071	2508
otsB	2804	4031	1752
araH	1441	1913	207
araG	1688	2284	83
araF	1904	4102	54
ftnB	412	398	116
yecJ	208	107	52
azuC	52	47	10
yecR	176	148	31
ftnA	888	646	67
yecH	180	128	33
tyrP	681	443	215
yecA	857	613	227
3ETS_leuZ	21	8	5
leuZ	53	51	8
cysT	47	31	85
glyW	97	51	101
pgsA	487	374	885
uvrC	2412	1779	709
uvrY	768	636	456
yecU	80	58	4
yecF	105	140	16
sdiA	401	238	89
sdsN	22	22	14
tcyN	806	983	373
tcyL	675	954	299
dcyD	1424	1897	716
tcyJ	3216	3738	1463
fliZ	536	271	54
fliA	266	149	46
fliX	225	218	163
fliC	1117	867	662
fliD	925	449	68
fliS	252	117	22
fliT	202	93	24
amyA	3682	4523	330
yedD	676	817	256
yedE	1419	1456	103
yedF	391	480	39
yedK	578	453	127
yedL	263	184	72
yedN	118	118	25
intG	78	54	3
fliE	160	72	11
fliF	1238	604	83
fliG	465	166	68
fliH	482	274	39
fliI	778	381	61
fliJ	313	152	12
fliK	743	308	57
fliL	273	141	30
fliM	626	261	61
fliN	244	113	12
fliO	312	145	15
fliP	340	150	27
fliQ	177	103	10
fliR	303	195	70
rcsA	302	274	99
dsrB	149	114	19
yodD	12240	9287	1615
dsrA	559	653	278
yedP	5947	7469	2899
dgcQ	2172	1730	947
yodC	187	229	72
yedI	967	1256	231
yedA	805	445	78
vsr	245	110	90
dcm	1429	881	678
yedJ	458	383	899
drpB	199	140	354
rseX	29	21	1
yedS	912	817	243
hchA	19746	9456	601
hprS	494	282	155
hprR	289	145	90
hiuH	99	57	14
msrP	1206	1122	380
msrQ	585	441	233
zinT	289	266	35
yodB	347	260	89
serU	265	265	35
mtfA	1311	1116	169
asnT	167	139	23
yeeJ	3903	2106	1150
yeeL	332	221	55
shiA	891	547	923
amn	1396	1072	791
yeeN	483	439	162
asnW	145	102	14
yeeO	1153	727	500
asnU	76	46	2
cbl	625	380	288
nac	683	370	285
asnV	75	43	9
ldtA	3061	2638	1440
cobT	951	541	194
cobS	428	298	81
cobU	273	172	65
yeeH	98	54	19
insH6	1529	1053	327
yoeG	286	234	81
yoeH	101	88	93
yoeA	440	302	188
insD3	0	0	0
insC3	0	0	0
yeeP	312	179	170
isrC	90	49	8
flu	2499	1554	474
yeeR	1089	530	186
yeeS	357	233	61
yeeT	232	105	36
cbeA	292	149	55
cbtA	161	68	19
yeeW	235	131	54
yoeD	25	15	5
yoeF	94	78	45
tmaR	1359	1006	998
yoeJ	103	115	39
yeeA	1842	1743	338
sbmC	2494	3748	358
dacD	804	476	159
sbcB	1138	823	628
tsuB	1115	2158	1356
tsuA	1501	2352	2458
plaP	739	352	108
yoeI	14	9	5
yeeY	1627	1151	1138
yeeZ	3271	2213	1887
yoeB	755	384	357
yefM	774	510	429
hisL	20	5	7
hisG	662	851	659
hisD	983	1308	943
hisC	736	1074	677
hisB	698	887	621
hisH	375	509	395
hisA	489	665	439
hisF	658	687	415
hisI	714	661	482
wzzB	2142	1920	574
ugd	1107	754	465
gnd	8725	8663	4010
wbbL	1186	1297	907
insH7	0	0	0
wbbK	927	1249	904
wbbJ	532	723	554
wbbI	916	1354	925
wbbH	725	1128	755
glf	1154	1810	915
rfbX	950	1371	1005
rfbC	491	679	473
rfbA	1075	1221	856
rfbD	1474	1522	937
rfbB	1804	2081	1165
galF	4963	4500	1033
wcaM	722	407	82
wcaL	1110	466	52
wcaK	791	399	79
wzxC	1341	747	52
wcaJ	1011	497	77
cpsG	850	435	65
cpsB	1059	503	70
wcaI	468	281	82
gmm	191	114	24
fcl	564	256	69
gmd	706	375	87
wcaF	195	92	21
wcaE	330	163	29
wcaD	437	220	32
wcaC	664	332	44
wcaB	189	85	17
wcaA	662	346	51
wzc	1499	696	98
wzb	211	85	7
wza	693	336	33
yegH	1338	785	537
asmA	1862	1338	730
dcd	1043	951	817
udk	365	221	274
dgcE	3788	2785	824
alkA	814	467	101
yegD	754	338	148
yegI	1128	565	203
yegJ	365	261	35
pphC	518	270	39
yegL	685	299	32
sibA	32	38	32
ibsA	0	0	0
sibB	68	37	13
ibsB	0	0	0
mdtA	879	541	200
mdtB	2207	1188	486
mdtC	1942	1033	348
mdtD	930	503	114
baeS	517	287	152
baeR	894	540	242
yegP	4701	4251	492
trhP	1795	1651	4089
cyaR	38	35	40
ogrK	175	223	68
yegZ	143	141	34
yegR	157	181	22
yegS	1793	1477	246
gatR	509	314	169
insE5	0	0	0
insF5	0	0	0
gatD	2171	1784	89
gatC	6880	5769	118
gatB	1626	1205	12
gatA	4745	4191	49
gatZ	27678	34772	385
gatY	40885	50246	446
fbaB	8698	9766	3034
yegT	1027	587	61
yegU	796	470	115
yegV	618	343	99
yegW	721	397	135
yegX	684	361	122
thiD	510	264	122
thiM	412	235	103
rcnR	402	219	73
rcnA	453	251	76
rcnB	190	141	40
yehA	290	180	31
yehB	1089	607	70
yehC	179	124	6
yehD	95	77	7
yehE	463	342	96
mrp	1262	1052	485
metG	1705	1304	1573
yehF	599	292	46
yehH	1704	931	186
yehI	2560	1309	289
yehK	94	82	9
yehL	792	422	53
yehM	1556	771	179
yehP	813	406	62
yehQ	1439	718	195
yehR	317	196	89
yehS	357	333	224
btsR	598	314	92
btsS	1002	533	102
mlrA	1150	788	279
yohO	37	43	19
yehW	627	481	127
yehX	664	512	90
yehY	1319	1319	224
osmF	3375	5050	303
bglX	1729	1167	492
dld	1554	1215	1212
pbpG	497	355	489
yohC	9112	11748	938
yohD	769	726	234
yohF	1549	1696	283
mdtQ	831	396	69
yohP	5389	6853	1300
dusC	942	550	124
yohJ	372	267	300
yohK	445	404	568
cdd	1626	2011	324
sanA	321	205	25
yeiS	266	177	41
preT	970	753	73
preA	1228	906	65
mglC	954	770	26
mglA	1417	1228	34
mglB	4609	3414	56
galS	957	826	59
yeiB	818	375	149
folE	587	377	685
yeiG	855	550	686
cirA	1805	1082	1204
lysP	1772	1221	813
yeiE	1307	972	203
yeiH	892	533	217
nfo	1188	1765	336
yeiI	1102	747	274
nupX	1000	469	56
rihB	512	220	23
yeiL	305	179	27
psuT	761	411	146
psuG	603	298	39
psuK	464	237	20
fruA	3127	3654	631
fruK	1532	1293	166
fruB	1064	875	140
setB	866	435	46
yeiW	148	99	13
yeiP	417	266	64
yeiQ	1430	689	87
yeiR	734	390	77
lpxT	293	191	28
mepS	266	156	128
pdeN	1126	698	163
yejA	1476	1008	362
yejB	726	363	120
yejE	725	425	171
yejF	1002	622	1079
yejG	2580	2917	274
bcr	1121	840	1456
rsuA	825	714	886
radD	1152	602	227
rplY	402	392	2431
yejK	839	503	338
yejL	497	499	299
lapC	1691	1346	701
proL	69	29	14
yejO	1941	1153	519
insH8	0	0	0
narP	434	394	217
ccmH	755	420	115
ccmG	416	263	34
ccmF	1341	719	157
ccmE	464	251	73
ccmD	181	121	45
ccmC	550	310	68
ccmB	346	184	38
ccmA	594	357	63
napC	260	164	58
napB	218	116	21
napH	671	398	34
napG	379	219	69
napA	1499	858	142
napD	60	32	4
napF	311	195	26
yojO	36	18	8
eco	654	486	307
mqo	1091	721	1563
yojI	1077	545	451
alkB	591	401	239
ada	1027	779	830
ftp	916	429	388
ompC	5232	4705	4367
micF	74	51	24
rcsD	2941	2026	985
rcsB	2151	1831	957
rcsC	1991	1261	850
atoS	1272	841	180
atoC	1015	583	93
atoD	454	231	39
atoA	309	153	20
atoE	884	506	64
atoB	832	414	57
yfaP	698	327	89
yfaQ	1167	593	123
yfaS	2793	1346	351
yfaT	419	219	39
yfaA	976	500	101
gyrA	5268	4432	4746
ubiG	859	637	420
yfaL	2466	1522	510
ypaB	51	36	5
nrdA	1540	1036	202
yoaM	17	14	7
nrdB	997	737	309
yfaE	112	67	43
inaA	571	524	145
yfaH	66	26	38
glpQ	1256	1067	348
glpT	892	533	88
glpA	934	432	72
glpB	851	406	52
glpC	765	415	93
rpnE	529	259	59
ypaA	177	128	19
yfaU	550	292	51
yfaV	905	393	59
rhmD	902	574	36
yfaX	541	329	41
yfaY	1402	1008	504
yfaZ	464	290	85
nudI	211	146	19
ais	258	138	27
arnB	2303	2439	405
arnC	1398	1071	251
arnA	1932	1713	859
arnD	652	453	276
arnT	1036	546	331
arnE	246	168	120
arnF	449	317	81
pmrD	224	249	35
menE	1096	650	304
menC	877	841	327
menB	671	710	341
menH	506	272	34
menD	1433	906	408
menF	1017	667	678
elaB	8707	8886	1341
elaA	603	460	109
rbn	709	436	100
elaD	235	199	45
yfbK	955	489	149
yfbL	405	267	33
yfbM	222	109	23
yfbN	209	107	34
yfbO	73	53	11
yfbP	362	279	54
nuoN	1800	1613	742
nuoM	1407	1084	241
nuoL	1994	1710	507
nuoK	407	301	92
nuoJ	820	759	166
nuoI	522	608	109
nuoH	1358	1347	291
nuoG	3704	4302	1353
nuoF	2516	2945	889
nuoE	1090	1118	416
nuoC	4997	4989	1501
nuoB	3384	3045	987
nuoA	3952	3525	664
lrhA	2422	2228	613
alaA	1091	754	876
yfbR	488	311	121
yfbS	1256	803	218
hxpA	1004	774	356
yfbU	685	544	207
yfbV	4422	4516	1410
ackA	10747	16566	1000
pta	6708	10887	1313
yfcC	799	407	156
yfcD	904	526	261
yfcE	746	464	292
yfcF	710	570	148
yfcG	817	1060	188
folX	613	700	189
yfcH	3720	4811	680
rpnB	693	495	111
hisP	1032	1034	272
hisM	993	1101	230
hisQ	1660	1761	378
hisJ	5453	6447	757
argT	13634	19915	160
ubiX	430	230	53
purF	1506	1378	359
cvpA	543	622	144
dedD	1368	1776	393
folC	1057	1070	379
accD	1275	1169	1233
dedA	496	294	411
truA	621	370	492
usg	697	541	387
pdxB	1212	995	666
flk	995	594	113
yfcJ	813	392	144
fabB	2725	2114	864
mnmC	1370	615	544
yfcL	227	145	99
epmC	546	322	244
yfcA	765	471	243
mepA	574	373	260
aroC	1349	893	506
prmB	758	444	184
smrB	731	572	359
yfcO	1003	854	413
yfcP	483	241	32
yfcQ	156	81	26
yfcR	349	181	26
yfcS	454	175	23
yfcU	1882	1142	310
yfcV	177	176	10
sixA	14847	11550	720
fadJ	8783	16066	213
fadI	5807	9538	132
yfcZ	734	697	833
fadL	12985	17875	128
yfdF	125	146	14
mlaA	1512	1164	294
yfdC	1021	776	156
argW	63	37	6
intS	406	175	72
yfdG	69	74	71
yfdH	290	165	97
yfdI	134	78	25
yodE	15	21	8
tfaS	323	374	114
yfdK	167	89	25
yfdL	259	131	17
yfdM	301	182	15
yfdN	242	113	13
yfdO	234	108	12
yfdP	344	187	16
yfdQ	189	101	21
yfdR	163	100	13
yfdS	170	69	8
yfdT	64	38	13
ypdJ	11	11	1
torI	131	56	19
pawZ	44	31	8
dsdC	597	315	83
dsdX	824	457	68
dsdA	978	522	137
emrY	376	245	104
emrK	487	346	113
evgL	2	6	5
evgA	625	952	669
