Geneid	FimA_del	WT	FimA_over
xynR	585	434	3356
argF	472	570	8305
argL	51	26	9
ykgS	75	46	69
insB3	281	216	211
insA3	99	52	61
yagJ	480	299	143
yagK	187	107	79
yagL	86	69	23
yagM	57	55	9
ykgV	10	5	5
yagN	155	106	81
intF	815	678	656
yagP	292	146	156
paoD	498	361	171
paoC	1230	1087	241
paoB	499	390	101
paoA	362	363	70
yagU	349	251	329
ykgJ	208	93	112
ecpE	357	197	119
ecpD	815	535	318
ecpC	1186	618	160
ecpB	259	103	19
ecpA	266	153	90
matA	138	76	7
ykgL	112	60	19
ykgO	52	31	11
ykgM	68	64	14
ykgR	43	34	7
ykgP	64	49	10
eaeH	320	156	26
insE1	152	105	82
insF1	603	319	222
ykgA	365	229	36
ykgQ	58	47	9
rclC	349	191	16
rclB	31	17	1
rclA	791	671	52
rclR	338	230	37
ykgE	223	161	20
ykgF	781	459	85
ykgG	620	369	54
ykgH	89	60	25
betA	788	476	972
betB	999	666	2091
betI	481	289	903
betT	1490	913	666
yahV	4	14	6
pdeL	524	331	75
yahB	488	1108	66
yahC	330	1746	19
yahD	311	2643	23
yahE	293	1166	27
yahF	843	2222	83
yahG	828	1700	82
yahH	147	235	47
yahI	417	401	76
yahJ	766	717	647
yahK	3121	3274	897
yahL	89	78	17
yahM	95	65	19
yahN	484	430	26
yahO	16718	20476	358
prpR	4015	6392	99
prpB	92681	189101	50
prpC	47192	87573	58
prpD	33558	86149	53
prpE	21055	60808	117
codB	643	365	81
codA	502	243	141
cynR	407	166	79
cynT	295	187	58
cynS	135	55	26
cynX	519	279	84
lacA	224	143	28
lacY	502	318	36
lacZ	1466	689	110
lacI	1113	917	26382
mhpR	2101	1971	86
mhpA	935	446	57
mhpB	387	185	33
mhpC	440	192	36
mhpD	432	202	39
mhpF	340	153	37
mhpE	624	303	56
mhpT	602	371	133
yaiL	580	406	164
frmB	426	260	144
frmA	1175	898	230
frmR	309	211	60
yaiO	415	236	88
yaiX	182	104	25
insC1	0	0	0
insD1	0	0	0
yaiP	315	192	68
ykiC	5	1	0
yaiS	88	35	11
tauA	588	298	59
tauB	445	184	45
tauC	332	197	65
tauD	360	173	86
hemB	791	565	672
yaiT	520	353	341
ytiB	0	0	0
insF2	0	0	0
insE2	0	0	0
iprA	106	77	22
ampH	1944	1760	404
sbmA	728	566	391
yaiW	744	509	380
yaiY	260	226	81
yaiZ	384	411	47
ddlA	837	734	398
iraP	397	636	162
phoA	614	397	168
psiF	2143	2561	148
dgcC	562	320	122
proC	596	380	140
yaiI	218	188	279
aroL	311	203	1116
yaiA	815	817	523
aroM	1005	1033	650
ppnP	615	610	243
ykiA	273	302	116
ykiD	73	46	23
rdgC	624	369	152
mak	724	643	140
araJ	732	487	247
sbcC	1253	692	238
sbcD	527	368	223
phoB	692	454	212
phoR	613	378	244
brnQ	1757	1645	1749
proY	1057	920	739
malZ	815	441	391
acpH	331	239	165
queA	601	280	416
tgt	552	460	483
yajC	667	654	420
secD	1110	852	1180
secF	789	627	941
yajD	291	206	86
tsx	1131	1187	137
yajI	378	231	60
nrdR	499	390	482
ribD	1089	713	1181
ribE	546	387	522
nusB	385	279	842
thiL	476	271	478
pgpA	773	807	706
yajO	8361	10734	1226
dxs	1373	970	927
ispA	518	379	355
xseB	330	278	160
thiI	859	499	1011
yajL	493	448	306
panE	793	734	416
yajQ	1229	1584	414
yajR	587	348	172
cyoE	4747	6776	600
cyoD	2010	2512	182
cyoC	2343	3208	234
cyoB	8278	10551	972
cyoA	6811	7939	443
ampG	793	434	80
yajG	533	323	48
bolA	15596	14327	315
tig	3074	3015	713
clpP	4015	6065	1509
clpX	12273	16227	4386
lon	8751	18222	6228
hupB	678	1007	368
ppiD	2034	1914	1140
ybaV	140	145	62
fadM	396	906	82
queC	542	411	279
ybaE	1820	1395	174
cof	460	372	178
decR	368	318	117
mdlA	1108	803	270
mdlB	911	530	306
glnK	273	120	34
amtB	839	471	219
tesB	1097	1041	222
ybaY	1465	1156	1036
ybaZ	378	294	254
ffs	88	56	7
ybaA	778	748	99
pdeB	1320	1168	455
ylaC	1570	1179	1066
maa	368	493	511
hha	535	1215	697
tomB	960	1944	927
acrB	3769	4959	1714
acrA	1230	1763	530
acrR	520	509	204
mscK	1525	903	663
ybaM	184	126	95
priC	268	227	179
ybaN	302	213	323
apt	361	192	267
dnaX	1480	1585	1637
ybaB	607	681	780
recR	511	535	697
htpG	4683	11438	2662
adk	623	465	571
hemH	886	756	184
aes	647	539	130
gsk	709	401	445
ybaL	1779	1951	1033
fsr	688	349	67
ushA	1548	1542	477
ybaK	432	329	947
chiX	35	18	20
ybaP	425	394	2028
ybaQ	776	880	466
copA	1762	1214	1292
glsA	589	263	121
ybaT	932	327	434
cueR	529	345	453
ybbJ	1311	1126	383
qmcA	2779	2512	427
fetA	201	138	50
fetB	390	214	89
cnoX	1892	2579	889
ybbO	591	489	290
tesA	505	395	229
ybbA	627	417	174
ybbP	1413	840	265
rhsD	3058	2209	495
ybbC	19	30	9
ylbH	146	80	28
ybbD	70	49	7
ylbI	50	11	3
ylbG	268	178	54
selU	510	213	117
allS	519	298	44
allA	234	130	35
allR	556	515	405
allZ	7	13	0
gcl	825	495	83
hyi	281	190	28
glxR	424	284	24
ybbW	647	461	25
allB	801	639	56
ybbY	924	700	58
glxK	725	560	66
