Plate	Replicate	Temp	Sample	Treatment	Background	Time	FinalOD550
Plate5	H	37	FimA_Ans	"Ancestor, FimA-"	FimA	0	1.00E-05
Plate6	A	25	WT_Ans	"Ancestor, WT"	WT	0	0.5615
Plate6	B	25	WT_Ans	"Ancestor, WT"	WT	0	0.5275
Plate6	C	25	WT_Ans	"Ancestor, WT"	WT	0	0.5265
Plate6	D	25	WT_Ans	"Ancestor, WT"	WT	0	0.5125
Plate6	E	25	WT_Ans	"Ancestor, WT"	WT	0	0.6305
Plate6	F	25	WT_Ans	"Ancestor, WT"	WT	0	0.5315
Plate6	G	25	WT_Ans	"Ancestor, WT"	WT	0	0.6235
Plate6	H	25	WT_Ans	"Ancestor, WT"	WT	0	0.5575
Plate6	A	25	WCT5_D90	"Tube, WT"	WT	90	0.2865
Plate6	B	25	WCT5_D90	"Tube, WT"	WT	90	0.2375
Plate6	C	25	WCT5_D90	"Tube, WT"	WT	90	0.2955
Plate6	D	25	WCT5_D90	"Tube, WT"	WT	90	0.3285
Plate6	E	25	WCT5_D90	"Tube, WT"	WT	90	0.3355
Plate6	F	25	WCT5_D90	"Tube, WT"	WT	90	0.3005
Plate6	G	25	WCT5_D90	"Tube, WT"	WT	90	0.3635
Plate6	H	25	WCT5_D90	"Tube, WT"	WT	90	0.3125
Plate6	A	25	WFL5_D90	"Flask, WT"	WT	90	0.0325
Plate6	B	25	WFL5_D90	"Flask, WT"	WT	90	0.0265
Plate6	C	25	WFL5_D90	"Flask, WT"	WT	90	0.0255
Plate6	D	25	WFL5_D90	"Flask, WT"	WT	90	0.0275
Plate6	E	25	WFL5_D90	"Flask, WT"	WT	90	0.0745
Plate6	F	25	WFL5_D90	"Flask, WT"	WT	90	0.0295
Plate6	G	25	WFL5_D90	"Flask, WT"	WT	90	0.0325
Plate6	H	25	WFL5_D90	"Flask, WT"	WT	90	0.0295
Plate6	A	25	FCT5_D90	"Tube, FimA-"	FimA	90	0.0035
Plate6	B	25	FCT5_D90	"Tube, FimA-"	FimA	90	0.0035
Plate6	C	25	FCT5_D90	"Tube, FimA-"	FimA	90	0.0035
Plate6	D	25	FCT5_D90	"Tube, FimA-"	FimA	90	0.0025
Plate6	E	25	FCT5_D90	"Tube, FimA-"	FimA	90	0.0055
Plate6	F	25	FCT5_D90	"Tube, FimA-"	FimA	90	0.0045
Plate6	G	25	FCT5_D90	"Tube, FimA-"	FimA	90	0.0165
Plate6	H	25	FCT5_D90	"Tube, FimA-"	FimA	90	0.0015
Plate6	A	25	FFL5_D90	"Flask, FimA-"	FimA	90	0.0025
Plate6	B	25	FFL5_D90	"Flask, FimA-"	FimA	90	5.00E-04
Plate6	C	25	FFL5_D90	"Flask, FimA-"	FimA	90	0.0025
Plate6	D	25	FFL5_D90	"Flask, FimA-"	FimA	90	0.0065
Plate6	E	25	FFL5_D90	"Flask, FimA-"	FimA	90	0.0115
Plate6	F	25	FFL5_D90	"Flask, FimA-"	FimA	90	0.0035
Plate6	G	25	FFL5_D90	"Flask, FimA-"	FimA	90	0.0025
Plate6	H	25	FFL5_D90	"Flask, FimA-"	FimA	90	1.00E-05
Plate6	A	25	WCT6_D90	"Tube, WT"	WT	90	0.1415
Plate6	B	25	WCT6_D90	"Tube, WT"	WT	90	0.1295
Plate6	C	25	WCT6_D90	"Tube, WT"	WT	90	0.1505
Plate6	D	25	WCT6_D90	"Tube, WT"	WT	90	0.1375
Plate6	E	25	WCT6_D90	"Tube, WT"	WT	90	0.1675
Plate6	F	25	WCT6_D90	"Tube, WT"	WT	90	0.1365
Plate6	G	25	WCT6_D90	"Tube, WT"	WT	90	0.1755
Plate6	H	25	WCT6_D90	"Tube, WT"	WT	90	0.1545
Plate6	A	25	WFL6_D90	"Flask, WT"	WT	90	0.0215
Plate6	B	25	WFL6_D90	"Flask, WT"	WT	90	0.0455
Plate6	C	25	WFL6_D90	"Flask, WT"	WT	90	0.0275
Plate6	D	25	WFL6_D90	"Flask, WT"	WT	90	0.0485
Plate6	E	25	WFL6_D90	"Flask, WT"	WT	90	0.0485
Plate6	F	25	WFL6_D90	"Flask, WT"	WT	90	0.0345
Plate6	G	25	WFL6_D90	"Flask, WT"	WT	90	0.0465
Plate6	H	25	WFL6_D90	"Flask, WT"	WT	90	0.0235
Plate6	A	25	FCT6_D90	"Tube, FimA-"	FimA	90	0.0075
Plate6	B	25	FCT6_D90	"Tube, FimA-"	FimA	90	0.0045
Plate6	C	25	FCT6_D90	"Tube, FimA-"	FimA	90	0.0025
Plate6	D	25	FCT6_D90	"Tube, FimA-"	FimA	90	0.0065
Plate6	E	25	FCT6_D90	"Tube, FimA-"	FimA	90	0.0115
Plate6	F	25	FCT6_D90	"Tube, FimA-"	FimA	90	0.0045
Plate6	G	25	FCT6_D90	"Tube, FimA-"	FimA	90	0.0115
Plate6	H	25	FCT6_D90	"Tube, FimA-"	FimA	90	0.0045
Plate6	A	25	FFL6_D90	"Flask, FimA-"	FimA	90	0.0025
Plate6	B	25	FFL6_D90	"Flask, FimA-"	FimA	90	0.0035
Plate6	C	25	FFL6_D90	"Flask, FimA-"	FimA	90	0.0045
Plate6	D	25	FFL6_D90	"Flask, FimA-"	FimA	90	0.0085
Plate6	E	25	FFL6_D90	"Flask, FimA-"	FimA	90	0.0085
Plate6	F	25	FFL6_D90	"Flask, FimA-"	FimA	90	0.0065
Plate6	G	25	FFL6_D90	"Flask, FimA-"	FimA	90	0.0075
Plate6	H	25	FFL6_D90	"Flask, FimA-"	FimA	90	0.0125
Plate6	A	25	FimA_Ans	"Ancestor, FimA-"	FimA	0	0.2875
Plate6	B	25	FimA_Ans	"Ancestor, FimA-"	FimA	0	0.2495
Plate6	C	25	FimA_Ans	"Ancestor, FimA-"	FimA	0	0.3125
Plate6	D	25	FimA_Ans	"Ancestor, FimA-"	FimA	0	0.2685
Plate6	E	25	FimA_Ans	"Ancestor, FimA-"	FimA	0	0.2615
Plate6	F	25	FimA_Ans	"Ancestor, FimA-"	FimA	0	0.1865
Plate6	G	25	FimA_Ans	"Ancestor, FimA-"	FimA	0	0.2055
Plate6	H	25	FimA_Ans	"Ancestor, FimA-"	FimA	0	0.4195
Plate7	A	37	WCT1_D7	"Tube, WT"	WT	7	0.1535
Plate7	B	37	WCT2_D7	"Tube, WT"	WT	7	0.1795
Plate7	C	37	WCT3_D7	"Tube, WT"	WT	7	0.1275
Plate7	D	37	WCT4_D7	"Tube, WT"	WT	7	0.1905
Plate7	E	37	WCT5_D7	"Tube, WT"	WT	7	0.1545
Plate7	F	37	WCT6_D7	"Tube, WT"	WT	7	0.1335
